viz-id	ra	dec	marked
40955	236.7330616	43.3536089	false
41712	358.6605134	0.4202219	true
41778	176.1998694	-1.9387737	false
42161	332.0111048	-0.9067658	false
43096	214.8734593	44.2981305	false
43685	347.6661532	2.5436819	false
44317	32.895378	-2.8111428	false
44389	351.2517382	-0.103729	false
44405	150.6245047	0.4011449	false
44454	152.6265662	-2.0476198	false
44517	18.3238671	-0.2380388	false
44611	142.8844145	2.0431336	false
44841	31.1067459	-2.4864666	false
44907	217.3622571	-0.1367947	false
44926	131.7773186	1.3287353	false
45970	209.7128998	0.347501	false
46552	343.1601467	1.2375356	false
47040	247.0083523	42.5299795	false
47488	148.9661062	-1.8490858	false
47537	234.6019568	43.4635936	false
47559	235.8386923	43.8990532	false
47949	151.6719826	-1.9107619	false
48497	222.5483937	0.5137629	false
48544	349.5518132	0.2170544	false
48620	349.1290226	2.8331275	false
48725	349.8693336	1.3972572	false
48862	336.6325638	3.6522821	false
49108	233.9231418	43.8266542	false
49148	133.9584554	-2.1903826	false
49173	154.3311134	-0.4459286	false
49813	348.1303359	-1.2106582	false
50236	148.9472794	-1.8946875	false
50255	237.4300471	41.8719162	false
50509	148.6204296	2.3836652	false
50986	18.8097316	1.9317577	false
51094	354.4399628	-0.4228657	false
51113	35.9925196	-6.7617164	false
51149	130.6523407	-0.5812324	false
51341	149.5314403	1.6786744	false
51533	233.8352843	43.4037032	false
51815	224.1356637	-2.1417639	false
51967	18.9341818	0.1534645	false
52188	34.9516088	-6.7119051	false
52367	188.3240737	0.7395275	false
52662	28.7011698	-2.700348	false
52901	339.8143372	3.180133	false
52915	153.3371704	-0.742752	false
52929	332.9704222	2.5129042	false
53048	233.4724378	43.5678109	false
53623	336.5308877	0.6800944	false
53624	128.8078877	-1.9057077	false
53756	346.0651751	1.7570738	false
54567	151.4908978	-1.3969897	false
54618	246.923107	42.6725897	false
54980	129.0641708	-1.8841501	false
55052	359.0842782	-0.3619457	false
55121	330.7335481	2.542297	false
55341	343.9472881	2.1331672	false
55342	179.7553824	-1.8056669	false
55799	129.0420488	-1.9684373	false
56244	175.047269	-0.8938378	false
56357	30.2662586	-5.1016688	false
56868	181.3356613	1.6302415	false
57749	28.5962243	-2.676127	false
57828	350.2011035	1.198438	false
58058	140.6059442	3.2594213	false
58441	217.0500671	-1.6047325	false
58742	181.1897875	1.893508	false
59075	228.2992188	42.3977059	false
59274	181.3453669	1.7918258	false
59939	154.4511106	-0.4881878	false
60180	208.5946012	0.1038167	false
60199	349.6590957	-1.109922	false
60461	132.8650233	3.1167059	false
60600	39.4492771	-1.9890904	false
60721	18.6993305	2.0122467	false
60783	348.1586457	-0.1090137	false
61082	38.9608842	-6.0469832	false
61376	182.4974251	-0.467135	false
61590	337.1958874	1.8863572	false
62008	246.7199285	42.6360878	false
62121	129.0886275	-1.8818848	false
62165	348.9708938	-0.699061	false
62214	134.4607617	-0.2231323	false
62470	134.6100278	0.0059503	false
62751	219.7134507	0.0224934	false
62772	219.4322777	0.2696859	false
62975	358.3953652	-0.7940742	false
63264	33.3147385	-3.0913053	false
63430	349.6953481	0.3481734	false
63775	339.7295945	3.1083807	false
63988	147.2914653	1.0873331	false
64121	340.283984	3.3309378	false
64545	234.2303577	43.7521976	false
64670	31.498244	-1.685337	false
64839	20.9390541	-0.6135949	false
64915	348.1212601	2.837336	false
65044	180.7708576	1.2757324	false
65334	149.1527861	1.8257276	false
65492	216.1350114	1.2108838	false
65780	35.7539934	-1.8268286	false
66103	151.6535866	-1.5803674	false
66442	208.3397827	0.4421742	false
66510	237.2135594	42.7501496	false
66707	330.8752473	2.4974337	false
66772	246.8198635	42.6525025	false
66779	232.7964434	42.6081447	false
66859	35.0167471	-6.5756479	false
67181	350.3565304	1.8713322	false
67254	181.2910097	1.8426782	false
67698	359.095755	-0.3368187	false
67784	209.8266774	0.1846371	false
67904	184.5192793	-0.6654249	false
67999	350.2719547	1.5303899	false
68127	220.8309212	1.0040008	false
68380	18.6808585	1.9678368	false
68752	181.1671655	1.6459218	false
68935	351.1076259	1.5119868	false
69025	331.9978728	7.0893678	false
69381	29.1199043	-4.5306946	false
69456	129.6686286	-1.9065278	false
69548	331.8233761	-0.5876111	false
69656	239.1990614	42.2684883	false
70143	128.6115165	0.1589894	false
70417	19.0060979	-0.8277879	false
70515	139.997289	0.8145094	false
70914	333.1058614	2.324287	false
71155	34.7837996	-6.4670433	false
71319	353.327028	-1.3363976	false
72224	218.0710346	-1.1645702	false
72305	247.3400455	42.7479954	false
72329	30.3640709	-1.3161382	false
72381	340.0956961	3.4058887	false
72851	148.9203267	-1.876992	false
72964	213.6221655	-0.7195451	false
73044	141.3719216	2.0948891	false
73112	151.3453846	0.5119705	false
73208	18.1948652	-0.4412371	false
73274	16.1115721	-0.6998966	false
73872	239.1153354	41.8334714	false
74709	350.0578716	1.4985529	false
74838	220.7014568	0.2656618	true
75138	241.2271144	42.5315297	false
75450	345.9934271	1.8428793	false
75619	16.8497991	-0.6801767	false
75879	151.4255474	0.4766238	false
76038	235.9675626	43.8016756	false
76567	332.9575253	0.2610761	false
76692	174.6692747	-1.038359	false
76694	249.6103425	44.3621488	false
76781	151.6299395	-1.3531996	false
77233	128.6988411	-1.7857904	false
77923	183.1655304	-0.8164852	false
78356	239.1842412	42.0532611	false
78403	180.7318067	-0.1989152	false
78735	249.2816143	44.387723	false
78849	18.2255078	-0.2820418	false
78916	135.6377767	3.4223099	false
78957	179.275813	1.1006859	false
79056	350.2807349	1.4006702	false
79111	189.6942214	0.5020817	false
79133	356.7315422	-0.6967246	false
79706	235.7264079	44.0870932	false
79892	241.416219	42.5884955	true
79982	346.2485375	1.8339379	false
80065	236.1270882	43.4244166	false
80769	249.6394793	42.0435916	false
81215	142.6536124	2.0567381	false
81343	239.1980753	42.3489498	false
81835	16.0426966	-0.8356968	false
81913	29.1123375	-4.3816097	false
82230	340.1742102	3.1779487	false
82340	211.2652064	-0.6982816	false
82707	128.8437704	-1.8468404	false
82846	246.5294452	43.5285389	false
83175	39.6883459	-6.8994027	false
83473	331.0667066	4.6234717	false
83554	28.7151455	-2.6568011	false
83742	249.2363786	44.397554	false
84101	153.3370736	-0.7436549	false
84314	343.9513523	2.1313012	false
84565	334.2623332	3.4099659	true
85131	131.8358392	2.4439298	true
85545	237.529755	42.0381702	false
85715	210.6275057	-1.4294535	false
85736	221.9666288	42.5492701	false
85963	37.683083	-4.6020238	false
86113	352.6785044	0.232798	false
86391	186.4220542	-2.3961654	false
86408	333.1066681	-0.7639825	false
87263	212.431706	-1.8587416	false
87354	134.4423872	-0.2666998	false
88167	128.0464649	-1.1718533	false
88330	217.0861626	-1.6053905	false
88587	221.2180308	0.3856692	false
88832	18.6619383	1.5904875	false
89028	237.5614275	41.9401325	false
89144	334.1663531	3.5038133	false
89172	148.549505	0.658399	false
89269	133.9008712	-2.237627	false
90487	216.4183557	1.6704187	true
90517	241.1596481	42.5387337	false
